Source,Destination,Duration,Skills
B.S.W.,M.S.W.,2,
L.L.B. Foundation,D.T.L.,1,
L.L.B. Foundation,D.L.L.,1,
L.L.B. Foundation,L.L.M.,2,
B.A.,B.P.Ed.,2,
B.P.Ed.,P.T. Teacher,,
B.A.,M.A.,2,
B.A.,M.A. in Mass Communication,2,
B.A.,Bachelor in Journalism,3,
B.A.,L.L.B.,5,
L.L.B.,L.L.M.,2,
B.A.,Bachelor in Library Science,1,
B.A.,M.B.A.,2,
B.A.,MPSC,,
B.A.,UPSC,,
MPSC,IAS,,
UPSC,IAS,,
B.A.,Diploma in dramatisation (NSD),3,
Diploma in dramatisation (NSD),Acting in Films,,
Diploma in dramatisation (NSD),Acting in Plays,,
B.A.,M.C.A.,3,
B.A.,M.C.M.,2,
M.C.A.,Software Job (IT),,
M.C.M.,Software Job (IT),,
B.A.,B.Ed.,2,
B.Ed.,M.Ed.,2,
B.A.,Advertising & Commercial Management Diploma,1,
B.A.,Event Management Diploma,1,
B.A.,Sub Inspector Exam for BSF,,
B.A.,Sub Inspector Exam for CRPF,,
B.A.,Sub Inspector Exam for CISF,,
B.B.A.,M.B.A.,2,
M.B.A.,Manager,,
M.B.A.,Businessman,,
,,,
12th (H.S.C.),Diploma in Travel & Tourism,1,
12th (H.S.C.),Laboratory Technician Diploma (D.M.L.T.),2,
12th (H.S.C.),L.I.C. Agent,,
12th (H.S.C.),Hotal Management Diploma,3,
Hotal Management Diploma,Air Hostess,1,
Hotal Management Diploma,Flight Steward,,
12th (H.S.C.),Student Pilot Licence,1,
Student Pilot Licence,Professional Pilot Licence,3,
Professional Pilot Licence,Commercial Pilot Licence,15 months,
